...1,p25c2_ID,DC3000_ID,baseMean_col1025,log2FoldChange_col1025,lfcSE_col1025,stat_col1025,pvalue_col1025,padj_col1025,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,B_tailocin,baseMean_eyach1025,log2FoldChange_eyach1025,lfcSE_eyach1025,stat_eyach1025,pvalue_eyach1025,padj_eyach1025,gene_or_product,significance,logFC_category
521,BJEIHDPM_02277,NA,6.79535258632008,-2.28439821008225,0.468560789080712,-4.87535078332973,1.08615272599529e-6,8.24179172979115e-5,3.55950107229338,8.19531762012953,11.7883611088019,1.3839691635321902e-15,2.0671235654500303e-15,25.1902537622221,6.79535258632008,-1.57009369700811,0.467295368097602,-3.3599598973131,7.7953787066804e-4,0.0147756512748297,NA,both,logFC_both
738,BJEIHDPM_03520,NA,10.489239120447,-0.790051956781106,0.347516558953291,-2.27342247851647,0.0230007328187954,0.128783838822418,0.632992561014333,6.69425036503277,2.16720481185091,0.0353629048253798,0.035503468673012,-4.99290220770432,10.489239120447,0.140160586334906,0.345338899517069,0.405863881916893,0.684842617500643,0.863632797429978,NA,col0 only,logFC_col0 only
1458,BJEIHDPM_02879,WP_003377577.1,3.60260986909264,-1.28063922016675,0.562279603999952,-2.27758433892413,0.022751354462167,0.12808567779656,2.39632459077006,6.60828565466625,7.46711387718726,1.6869865599480201e-9,1.9089480078261103e-9,11.3152873946311,3.60260986909264,-0.36522146551626,0.556648001372283,-0.656108464623771,0.511754338518043,0.751648608577621,BolA-like protein,col0 only,logFC_both
2052,BJEIHDPM_04292,WP_005762667.1,11.469285756046,-0.0920877553671598,0.299803851079892,-0.307160014907948,0.758721578771814,0.89643051510014,3.43632960597344,6.51447542382357,12.0063288184666,7.24881674777563e-16,1.1149702427107501e-15,25.9369819255318,11.469285756046,-0.709713287119324,0.315684070341011,-2.24817579915474,0.0245649822162616,0.138263790950442,hypothetical protein,eyach only,logFC_both
2094,BJEIHDPM_01314,WP_005762973.1,8.67239599911354,-1.15174494028581,0.509251965743957,-2.26164063717113,0.0237196151406556,0.131285308410734,5.49866042130761,9.5170611678659,31.3307934931918,5.77723689970996e-33,3.9607085545297296e-30,64.9514311893944,8.67239599911354,-1.47949034105402,0.524981630711271,-2.81817544558566,0.00482974111753875,0.0526832811180103,hypothetical protein,both,logFC_both
2114,BJEIHDPM_01216,WP_005763096.1,16.0390204178834,0.08328242956997,0.379219802231932,0.219615191716793,0.826170858965973,0.930995184657427,1.19866123586982,8.2247724622103,5.5187035821922,1.46125784377385e-6,1.53885810670851e-6,4.34381519868076,16.0390204178834,-0.907043885070424,0.394197092984525,-2.30099080184245,0.0213921510007315,0.126801275551304,ureC_2,eyach only,logFC_eyach only
2261,BJEIHDPM_00728,WP_005764049.1,28.3551356532739,-0.774847446637831,0.327576434846975,-2.36539434529164,0.0180108815558759,0.112852268802555,0.70376665625391,8.13416325086069,2.88598906511638,0.00589409588573832,0.00592993001166838,-3.65871859871425,28.3551356532739,0.154855345129898,0.328750545885485,0.47104209276002,0.63761067614761,0.82960604738151,ugpC_1,col0 only,logFC_col0 only
2396,BJEIHDPM_03096,WP_005764771.1,17.7999076701368,-0.709340194799418,0.309620904285686,-2.29099581126768,0.0219636559250648,0.125182989599809,0.530365218923112,7.88183329696658,2.24487030739532,0.0295621715251972,0.0296921015381794,-5.09813725760066,17.7999076701368,0.063288352735572,0.310344548233148,0.203929320156854,0.838408732334585,0.933959224734728,cmoB,col0 only,logFC_col0 only
2744,BJEIHDPM_03578,WP_005767033.1,16.0694709332857,-0.806665057619302,0.292456083572279,-2.75824338398465,0.00581129124637352,0.053580757914134,1.71852958430426,8.82182940772296,11.1927998422269,8.35849908250703e-15,1.17253543107136e-14,23.2736467696579,16.0694709332857,-0.90043357769664,0.300970790431207,-2.99176400609033,0.00277370590743654,0.0370695012026036,flgE,both,logFC_both
3295,BJEIHDPM_00926,WP_005771397.1,6.39928338985668,-0.964209591195362,0.457627404868613,-2.10697519627827,0.0351197296495815,0.16644168564043,5.652510853321,7.78331472155059,25.7698376394213,3.19541475985794e-29,6.13391817302329e-27,56.2116289611489,6.39928338985668,-0.73096157823127506,0.465772829358895,-1.56935212222962,0.1165659135092,0.347952741822371,rmlC_1,col0 only,logFC_both
3296,BJEIHDPM_00926,WP_005771397.1,6.39928338985668,-0.964209591195362,0.457627404868613,-2.10697519627827,0.0351197296495815,0.16644168564043,5.652510853321,7.78331472155059,25.7698376394213,3.19541475985794e-29,6.13391817302329e-27,56.2116289611489,6.39928338985668,-0.73096157823127506,0.465772829358895,-1.56935212222962,0.1165659135092,0.347952741822371,rmlC_1,col0 only,logFC_both
3302,BJEIHDPM_00922,WP_005771402.1,162.511839474873,-0.37899537380341,0.170017013191647,-2.2291614626602,0.0258031636354451,0.138112207148508,6.96864936253499,13.3316134771167,47.7754172232979,3.02369671745301e-41,1.4510720547056999e-37,83.9306258215879,162.511839474873,-0.354895294067025,0.172510680262293,-2.05723665066665,0.0396634676614093,0.183683673259537,rfbB,both,logFC_both
3303,BJEIHDPM_00922,WP_005771402.1,162.511839474873,-0.37899537380341,0.170017013191647,-2.2291614626602,0.0258031636354451,0.138112207148508,6.96864936253499,13.3316134771167,47.7754172232979,3.02369671745301e-41,1.4510720547056999e-37,83.9306258215879,162.511839474873,-0.354895294067025,0.172510680262293,-2.05723665066665,0.0396634676614093,0.183683673259537,rfbB,both,logFC_both
3375,BJEIHDPM_00925,WP_007244127.1,144.233952337904,-1.19963184394149,0.200021406946414,-5.99751727705262,2.0035705535148903e-9,3.7613917260097e-7,4.90941115283594,12.7008242199963,25.9452520098036,2.3766624194500698e-29,5.1843649777004e-27,56.7691671312934,144.233952337904,-1.36286471518533,0.203435466650356,-6.69924835440654,2.0949428989329198e-11,5.2216451755903e-9,wfgD,both,logFC_both
3376,BJEIHDPM_00927,WP_007244130.1,22.4871200996557,-2.87908887986095,0.401918943928898,-7.16335699859492,7.87249797116535e-13,2.50148623033779e-10,4.69631007075802,10.1553706085277,18.1717606101397,8.700742443273959e-23,5.64254905206375e-22,41.6791393895964,22.4871200996557,-2.46907647315614,0.406681842609692,-6.07127295704178,1.2690027988991402e-9,2.04063837177813e-7,tagG_2,both,logFC_both
3996,BJEIHDPM_00929,WP_011103411.1,257.898489456473,-0.746789473384453,0.221308572675921,-3.37442632409018,7.3969713422313e-4,0.0140219997631773,4.99123718907629,13.1507080666644,34.2960586812403,1.01346036985082e-34,1.2158990787285198e-31,69.1360807284146,257.898489456473,-1.1070622196866,0.224439484118688,-4.93256444619684,8.1156989674727e-7,6.63225563161499e-5,epsE_4,both,logFC_both
3997,BJEIHDPM_00928,WP_011103412.1,12.8610699787867,-3.29339378987538,0.438620114072224,-7.50853343066953,5.979341833386961e-14,2.3383826062261e-11,4.37655405159617,8.77659587420552,15.2883585036759,8.777049889722269e-20,2.6391643120787696e-19,34.830122132621,12.8610699787867,-3.89240342443804,0.472950153574051,-8.23005002752072,1.87135271801897e-16,1.03652147770273e-13,tagH_2,both,logFC_both
3999,BJEIHDPM_00924,WP_011103413.1,38.886275183848,-1.21188491879008,0.271772442719324,-4.4591898525991,8.2270025153713e-6,4.1005961557007e-4,6.77629614458683,11.8351135474719,44.7880661873981,5.75839115262128e-40,1.3817259570714698e-36,80.9240107676946,38.886275183848,-1.09151315613823,0.276380863280245,-3.94930800629076,7.83774470707402e-5,0.00263994306518676,rmlA2_1,both,logFC_both
4043,BJEIHDPM_00693,WP_011103511.1,42.8037657235223,-0.0155717407398149,0.43346421315683,-0.035923936203197,0.971343009853124,0.988018919960069,1.3524744383124,8.45640357746564,5.28129943844634,3.2949088702151e-6,3.43670238386487e-6,3.5283757253903,42.8037657235223,1.36920343580819,0.436023911403681,3.14020263567737,0.00168831010475542,0.0257376937987944,pheC,eyach only,logFC_col0 only
4076,BJEIHDPM_00535,WP_011103591.1,34.784456466248,-0.200040543947898,0.315537676629593,-0.633967220918357,0.526102214424908,0.762458283391172,2.04002686688773,9.50043733851871,13.3065673362301,1.73662734024365e-17,3.2759727224171704e-17,29.4011883432912,34.784456466248,-0.90876230319824,0.323934465485237,-2.80538936119983,0.00502558312484151,0.0536949318475086,dapL,eyach only,logFC_both
4121,BJEIHDPM_03394,WP_011103696.1,28.7275399808353,-1.27568678149382,0.331623956592852,-3.84678717002353,1.1967684174481e-4,0.00357904154959213,5.18680470140904,10.0732495806977,24.5949919291565,2.4305310424542197e-28,2.43002468182037e-26,54.4817648318224,28.7275399808353,-1.43619571911569,0.339027534901786,-4.23622146068976,2.27312589694591e-5,0.00103013932693412,tagO,both,logFC_both
4122,BJEIHDPM_03395,WP_011103697.1,148.14340635842,-1.01812212577954,0.198178148004095,-5.13740861963502,2.78552840630032e-7,2.51062831760641e-5,5.0243744229573,12.792927307038,25.7151276342109,3.50574142874994e-29,6.17349597213865e-27,56.3780795937926,148.14340635842,-0.955470994426579,0.201005414401832,-4.7534589914900804,1.99965678553884e-6,1.3655190514946e-4,pglF,both,logFC_both
5328,BJEIHDPM_01313,WP_011105259.1,85.737703541816,-1.32418657845321,0.218232950345671,-6.06776646860961,1.2970131230754802e-9,2.74750613238155e-7,4.86502185362426,12.3524884392727,26.6313202121722,7.591841600687429e-30,2.14313222598229e-27,57.9202605974533,85.737703541816,-0.934205212301862,0.22074588423977,-4.23203909562883,2.31582140574542e-5,0.00103074729532508,hypothetical protein,both,logFC_both
5329,BJEIHDPM_01315,WP_011105261.1,10.2243583954785,-2.18530738515512,0.454851052386034,-4.80444614493371,1.55180461597732e-6,1.0873831480817e-4,6.45999291940234,9.87437812371646,31.8537836497901,2.7621731806324298e-33,2.2092781823091697e-30,65.6814176012844,10.2243583954785,-2.92615514115645,0.48425883122452,-6.04254368218177,1.5170325818886202e-9,2.36325231897336e-7,hypothetical protein,both,logFC_both
