Well,File_Name
A6,Col0_R2_P1
C2,Col0_R2_P3
C4,Col0_R2_P4
B3,Eyach_R2_P4
B6,Eyach_R2_P4
D1,Eyach_R2_P4
C2,Col0_R4_P1
C4,Col0_R4_P1
B5,Col0_R4_P1
C2,Col0_R4_P2
A1,Col0_R4_P3
B2,Col0_R4_P3
C1,Col0_R4_P3
D4,Col0_R4_P3
A6,Col0_R4_P4
C1,Col0_R4_P4
C2,Col0_R4_P4
C4,Col0_R4_P4
D1,Col0_R4_P4
B1,Eyach_R4_P1
D1,Eyach_R4_P1
B4,Eyach_R4_P1
C4,Eyach_R4_P1
A6,Eyach_R4_P1
D6,Eyach_R4_P1
A1,Eyach_R4_P2
C5,Eyach_R4_P2
A3,Eyach_R4_P3
A5,Eyach_R4_P3
B1,Eyach_R4_P4
A2,Eyach_R4_P4
D3,Eyach_R4_P4
C5,Eyach_R4_P4
A2,Col0_R3_P2
B6,Eyach_R3_P1
A4,Eyach_R4_P3
B6,Eyach_R4_P4