File_Name,Well,Phenotype
Eyach_R5_P1,A1,D
Eyach_R5_P1,A2,S
Eyach_R5_P1,A3,B
Eyach_R5_P1,A4,B
Eyach_R5_P1,A5,B
Eyach_R5_P1,A6,B
Eyach_R5_P1,B1,S
Eyach_R5_P1,B2,B
Eyach_R5_P1,B3,B
Eyach_R5_P1,B4,X
Eyach_R5_P1,B5,B
Eyach_R5_P1,B6,B
Eyach_R5_P1,C1,X
Eyach_R5_P1,C2,X
Eyach_R5_P1,C3,X
Eyach_R5_P1,C4,D
Eyach_R5_P1,C5,D
Eyach_R5_P1,C6,X
Eyach_R5_P1,D1,X
Eyach_R5_P1,D2,B
Eyach_R5_P1,D3,D
Eyach_R5_P1,D4,X
Eyach_R5_P1,D5,B
Eyach_R5_P1,D6,D
Eyach_R5_P2,A1,D
Eyach_R5_P2,A2,B
Eyach_R5_P2,A3,D
Eyach_R5_P2,A4,B
Eyach_R5_P2,A5,B
Eyach_R5_P2,A6,B
Eyach_R5_P2,B1,D
Eyach_R5_P2,B2,X
Eyach_R5_P2,B3,B
Eyach_R5_P2,B4,S
Eyach_R5_P2,B5,S
Eyach_R5_P2,B6,B
Eyach_R5_P2,C1,B
Eyach_R5_P2,C2,D
Eyach_R5_P2,C3,X
Eyach_R5_P2,C4,B
Eyach_R5_P2,C5,B
Eyach_R5_P2,C6,X
Eyach_R5_P2,D1,X
Eyach_R5_P2,D2,B
Eyach_R5_P2,D3,D
Eyach_R5_P2,D4,B
Eyach_R5_P2,D5,B
Eyach_R5_P2,D6,D
Eyach_R5_P3,A1,X
Eyach_R5_P3,A2,B
Eyach_R5_P3,A3,B
Eyach_R5_P3,A4,B
Eyach_R5_P3,A5,X
Eyach_R5_P3,A6,D
Eyach_R5_P3,B1,D
Eyach_R5_P3,B2,B
Eyach_R5_P3,B3,D
Eyach_R5_P3,B4,B
Eyach_R5_P3,B5,X
Eyach_R5_P3,B6,B
Eyach_R5_P3,C1,B
Eyach_R5_P3,C2,B
Eyach_R5_P3,C3,X
Eyach_R5_P3,C4,D
Eyach_R5_P3,C5,D
Eyach_R5_P3,C6,B
Eyach_R5_P3,D1,B
Eyach_R5_P3,D2,D
Eyach_R5_P3,D3,D
Eyach_R5_P3,D4,B
Eyach_R5_P3,D5,B
Eyach_R5_P3,D6,D
Eyach_R5_P4,A1,B
Eyach_R5_P4,A2,D
Eyach_R5_P4,A3,X
Eyach_R5_P4,A4,B
Eyach_R5_P4,A5,D
Eyach_R5_P4,A6,B
Eyach_R5_P4,B1,X
Eyach_R5_P4,B2,B
Eyach_R5_P4,B3,D
Eyach_R5_P4,B4,D
Eyach_R5_P4,B5,B
Eyach_R5_P4,B6,X
Eyach_R5_P4,C1,X
Eyach_R5_P4,C2,B
Eyach_R5_P4,C3,B
Eyach_R5_P4,C4,B
Eyach_R5_P4,C5,B
Eyach_R5_P4,C6,B
Eyach_R5_P4,D1,B
Eyach_R5_P4,D2,B
Eyach_R5_P4,D3,B
Eyach_R5_P4,D4,B
Eyach_R5_P4,D5,B
Eyach_R5_P4,D6,B
Eyach_R5_P5,A1,X
Eyach_R5_P5,A2,S
Eyach_R5_P5,A3,X
Eyach_R5_P5,A4,X
Eyach_R5_P5,A5,S
Eyach_R5_P5,A6,S
Eyach_R5_P5,B1,X
Eyach_R5_P5,B2,S
Eyach_R5_P5,B3,X
Eyach_R5_P5,B4,B
Eyach_R5_P5,B5,X
Eyach_R5_P5,B6,X
Eyach_R5_P5,C1,S
Eyach_R5_P5,C2,S
Eyach_R5_P5,C3,B
Eyach_R5_P5,C4,X
Eyach_R5_P5,C5,B
Eyach_R5_P5,C6,X
Eyach_R5_P5,D1,B
Eyach_R5_P5,D2,D
Eyach_R5_P5,D3,B
Eyach_R5_P5,D4,X
Eyach_R5_P5,D5,B
Eyach_R5_P5,D6,X
Col0_R1_P1,A1,X
Col0_R1_P1,A2,X
Col0_R1_P1,A3,S
Col0_R1_P1,A4,NOTHING
Col0_R1_P1,A5,NOTHING
Col0_R1_P1,A6,NOTHING
Col0_R1_P1,B1,B
Col0_R1_P1,B2,S
Col0_R1_P1,B3,B
Col0_R1_P1,B4,B
Col0_R1_P1,B5,X
Col0_R1_P1,B6,B
Col0_R1_P1,C1,NOTHING
Col0_R1_P1,C2,B
Col0_R1_P1,C3,B
Col0_R1_P1,C4,NOTHING
Col0_R1_P1,C5,NOTHING
Col0_R1_P1,C6,NOTHING
Col0_R1_P1,D1,NOTHING
Col0_R1_P1,D2,NOTHING
Col0_R1_P1,D3,B
Col0_R1_P1,D4,B
Col0_R1_P1,D5,B
Col0_R1_P1,D6,B
Col0_R1_P2,A1,B
Col0_R1_P2,A2,S
Col0_R1_P2,A3,NOTHING
Col0_R1_P2,A4,S
Col0_R1_P2,A5,S
Col0_R1_P2,A6,B
Col0_R1_P2,B1,B
Col0_R1_P2,B2,B
Col0_R1_P2,B3,NOTHING
Col0_R1_P2,B4,NOTHING
Col0_R1_P2,B5,NOTHING
Col0_R1_P2,B6,B
Col0_R1_P2,C1,B
Col0_R1_P2,C2,NOTHING
Col0_R1_P2,C3,B
Col0_R1_P2,C4,B
Col0_R1_P2,C5,B
Col0_R1_P2,C6,NOTHING
Col0_R1_P2,D1,NOTHING
Col0_R1_P2,D2,B
Col0_R1_P2,D3,NOTHING
Col0_R1_P2,D4,NOTHING
Col0_R1_P2,D5,X
Col0_R1_P2,D6,NOTHING
Col0_R1_P3,A1,NOTHING
Col0_R1_P3,A2,NOTHING
Col0_R1_P3,A3,NOTHING
Col0_R1_P3,A4,NOTHING
Col0_R1_P3,A5,D
Col0_R1_P3,A6,S
Col0_R1_P3,B1,B
Col0_R1_P3,B2,NOTHING
Col0_R1_P3,B3,NOTHING
Col0_R1_P3,B4,NOTHING
Col0_R1_P3,B5,NOTHING
Col0_R1_P3,B6,NOTHING
Col0_R1_P3,C1,B
Col0_R1_P3,C2,NOTHING
Col0_R1_P3,C3,NOTHING
Col0_R1_P3,C4,B
Col0_R1_P3,C5,NOTHING
Col0_R1_P3,C6,S
Col0_R1_P3,D1,B
Col0_R1_P3,D2,NOTHING
Col0_R1_P3,D3,B
Col0_R1_P3,D4,B
Col0_R1_P3,D5,D
Col0_R1_P3,D6,NOTHING
Col0_R1_P4,A1,B
Col0_R1_P4,A2,X
Col0_R1_P4,A3,B
Col0_R1_P4,A4,NOTHING
Col0_R1_P4,A5,NOTHING
Col0_R1_P4,A6,NOTHING
Col0_R1_P4,B1,NOTHING
Col0_R1_P4,B2,NOTHING
Col0_R1_P4,B3,D
Col0_R1_P4,B4,NOTHING
Col0_R1_P4,B5,NOTHING
Col0_R1_P4,B6,D
Col0_R1_P4,C1,D
Col0_R1_P4,C2,D
Col0_R1_P4,C3,B
Col0_R1_P4,C4,B
Col0_R1_P4,C5,B
Col0_R1_P4,C6,B
Col0_R1_P4,D1,NOTHING
Col0_R1_P4,D2,B
Col0_R1_P4,D3,D
Col0_R1_P4,D4,B
Col0_R1_P4,D5,B
Col0_R1_P4,D6,B
Col0_R1_P5,A1,NOTHING
Col0_R1_P5,A2,NOTHING
Col0_R1_P5,A3,B
Col0_R1_P5,A4,B
Col0_R1_P5,A5,B
Col0_R1_P5,A6,B
Col0_R1_P5,B1,B
Col0_R1_P5,B2,NOTHING
Col0_R1_P5,B3,B
Col0_R1_P5,B4,B
Col0_R1_P5,B5,B
Col0_R1_P5,B6,B
Col0_R1_P5,C1,B
Col0_R1_P5,C2,B
Col0_R1_P5,C3,B
Col0_R1_P5,C4,B
Col0_R1_P5,C5,X
Col0_R1_P5,C6,S
Col0_R1_P5,D1,B
Col0_R1_P5,D2,B
Col0_R1_P5,D3,B
Col0_R1_P5,D4,NOTHING
Col0_R1_P5,D5,D
Col0_R1_P5,D6,NOTHING
Col0_R1_P6,A1,NOTHING
Col0_R1_P6,A2,X
Col0_R1_P6,A3,NOTHING
Col0_R1_P6,A4,NOTHING
Col0_R1_P6,A5,NOTHING
Col0_R1_P6,A6,NOTHING
Col0_R1_P6,B1,NOTHING
Col0_R1_P6,B2,B
Col0_R1_P6,B3,S
Col0_R1_P6,B4,S
Col0_R1_P6,B5,B
Col0_R1_P6,B6,B
Col0_R1_P6,C1,B
Col0_R1_P6,C2,NOTHING
Col0_R1_P6,C3,B
Col0_R1_P6,C4,NOTHING
Col0_R1_P6,C5,B
Col0_R1_P6,C6,NOTHING
Col0_R1_P6,D1,B
Col0_R1_P6,D2,NOTHING
Col0_R1_P6,D3,NOTHING
Col0_R1_P6,D4,B
Col0_R1_P6,D5,B
Col0_R1_P6,D6,NOTHING
Col0_R1_P7,A1,X
Col0_R1_P7,A2,NOTHING
Col0_R1_P7,A3,NOTHING
Col0_R1_P7,A4,X
Col0_R1_P7,A5,D
Col0_R1_P7,A6,NOTHING
Col0_R1_P7,B1,S
Col0_R1_P7,B2,NOTHING
Col0_R1_P7,B3,S
Col0_R1_P7,B4,NOTHING
Col0_R1_P7,B5,B
Col0_R1_P7,B6,B
Col0_R1_P7,C1,D
Col0_R1_P7,C2,B
Col0_R1_P7,C3,S
Col0_R1_P7,C4,NOTHING
Col0_R1_P7,C5,B
Col0_R1_P7,C6,B
Col0_R1_P7,D1,B
Col0_R1_P7,D2,NOTHING
Col0_R1_P7,D3,D
Col0_R1_P7,D4,NOTHING
Col0_R1_P7,D5,B
Col0_R1_P7,D6,B
Col0_R2_P1,A1,B
Col0_R2_P1,A2,B
Col0_R2_P1,A3,B
Col0_R2_P1,A4,X
Col0_R2_P1,A5,B
Col0_R2_P1,A6,B
Col0_R2_P1,B1,B
Col0_R2_P1,B2,B
Col0_R2_P1,B3,B
Col0_R2_P1,B4,B
Col0_R2_P1,B5,B
Col0_R2_P1,B6,B
Col0_R2_P1,C1,D
Col0_R2_P1,C2,B
Col0_R2_P1,C3,B
Col0_R2_P1,C4,B
Col0_R2_P1,C5,B
Col0_R2_P1,C6,B
Col0_R2_P1,D1,B
Col0_R2_P1,D2,B
Col0_R2_P1,D3,D
Col0_R2_P1,D4,B
Col0_R2_P1,D5,B
Col0_R2_P1,D6,B
Col0_R4_P1,A1,B
Col0_R4_P1,A2,B
Col0_R4_P1,A3,B
Col0_R4_P1,A4,B
Col0_R4_P1,A5,B
Col0_R4_P1,A6,B
Col0_R4_P1,B1,B
Col0_R4_P1,B2,B
Col0_R4_P1,B3,B
Col0_R4_P1,B4,B
Col0_R4_P1,B5,S
Col0_R4_P1,B6,S
Col0_R4_P1,C1,D
Col0_R4_P1,C2,B
Col0_R4_P1,C3,S
Col0_R4_P1,C4,S
Col0_R4_P1,C5,X
Col0_R4_P1,C6,B
Col0_R4_P1,D1,X
Col0_R4_P1,D2,B
Col0_R4_P1,D3,B
Col0_R4_P1,D4,B
Col0_R4_P1,D5,B
Col0_R4_P1,D6,B
Col0_R4_P2,A1,B
Col0_R4_P2,A2,B
Col0_R4_P2,A3,B
Col0_R4_P2,A4,B
Col0_R4_P2,A5,B
Col0_R4_P2,A6,B
Col0_R4_P2,B1,B
Col0_R4_P2,B2,B
Col0_R4_P2,B3,B
Col0_R4_P2,B4,B
Col0_R4_P2,B5,D
Col0_R4_P2,B6,D
Col0_R4_P2,C1,D
Col0_R4_P2,C2,D
Col0_R4_P2,C3,D
Col0_R4_P2,C4,X
Col0_R4_P2,C5,B
Col0_R4_P2,C6,B
Col0_R4_P2,D1,B
Col0_R4_P2,D2,B
Col0_R4_P2,D3,B
Col0_R4_P2,D4,B
Col0_R4_P2,D5,D
Col0_R4_P2,D6,B
Col0_R4_P3,A1,D
Col0_R4_P3,A2,B
Col0_R4_P3,A3,B
Col0_R4_P3,A4,B
Col0_R4_P3,A5,D
Col0_R4_P3,A6,X
Col0_R4_P3,B1,B
Col0_R4_P3,B2,X
Col0_R4_P3,B3,X
Col0_R4_P3,B4,B
Col0_R4_P3,B5,B
Col0_R4_P3,B6,B
Col0_R4_P3,C1,D
Col0_R4_P3,C2,B
Col0_R4_P3,C3,D
Col0_R4_P3,C4,X
Col0_R4_P3,C5,B
Col0_R4_P3,C6,B
Col0_R4_P3,D1,B
Col0_R4_P3,D2,B
Col0_R4_P3,D3,B
Col0_R4_P3,D4,D
Col0_R4_P3,D5,D
Col0_R4_P3,D6,B
Col0_R4_P4,A1,X
Col0_R4_P4,A2,S
Col0_R4_P4,A3,B
Col0_R4_P4,A4,B
Col0_R4_P4,A5,D
Col0_R4_P4,A6,D
Col0_R4_P4,B1,B
Col0_R4_P4,B2,D
Col0_R4_P4,B3,B
Col0_R4_P4,B4,B
Col0_R4_P4,B5,B
Col0_R4_P4,B6,B
Col0_R4_P4,C1,S
Col0_R4_P4,C2,B
Col0_R4_P4,C3,X
Col0_R4_P4,C4,S
Col0_R4_P4,C5,X
Col0_R4_P4,C6,B
Col0_R4_P4,D1,D
Col0_R4_P4,D2,D
Col0_R4_P4,D3,B
Col0_R4_P4,D4,B
Col0_R4_P4,D5,B
Col0_R4_P4,D6,B
Col0-Eyach_R3_P2,A1,B
Col0-Eyach_R3_P2,A2,D
Col0-Eyach_R3_P2,A3,B
Col0-Eyach_R3_P2,A4,B
Col0-Eyach_R3_P2,A5,B
Col0-Eyach_R3_P2,A6,B
Col0-Eyach_R3_P2,B1,B
Col0-Eyach_R3_P2,B2,D
Col0-Eyach_R3_P2,B3,S
Col0-Eyach_R3_P2,B4,S
Col0-Eyach_R3_P2,B5,B
Col0-Eyach_R3_P2,B6,S
Col0-Eyach_R3_P2,C1,B
Col0-Eyach_R3_P2,C2,S
Col0-Eyach_R3_P2,C3,B
Col0-Eyach_R3_P2,C4,B
Col0-Eyach_R3_P2,C5,X
Col0-Eyach_R3_P2,C6,B
Col0-Eyach_R3_P2,D1,B
Col0-Eyach_R3_P2,D2,B
Col0-Eyach_R3_P2,D3,B
Col0-Eyach_R3_P2,D4,B
Col0-Eyach_R3_P2,D5,B
Col0-Eyach_R3_P2,D6,S
Eyach_R1_P1,A1,B
Eyach_R1_P1,A2,D
Eyach_R1_P1,A3,D
Eyach_R1_P1,A4,D
Eyach_R1_P1,A5,X
Eyach_R1_P1,A6,D
Eyach_R1_P1,B1,B
Eyach_R1_P1,B2,B
Eyach_R1_P1,B3,X
Eyach_R1_P1,B4,B
Eyach_R1_P1,B5,D
Eyach_R1_P1,B6,X
Eyach_R1_P1,C1,B
Eyach_R1_P1,C2,B
Eyach_R1_P1,C3,D
Eyach_R1_P1,C4,D
Eyach_R1_P1,C5,B
Eyach_R1_P1,C6,B
Eyach_R1_P1,D1,X
Eyach_R1_P1,D2,X
Eyach_R1_P1,D3,B
Eyach_R1_P1,D4,X
Eyach_R1_P1,D5,X
Eyach_R1_P1,D6,B
Eyach_R1_P2,A1,D
Eyach_R1_P2,A2,B
Eyach_R1_P2,A3,X
Eyach_R1_P2,A4,B
Eyach_R1_P2,A5,X
Eyach_R1_P2,A6,B
Eyach_R1_P2,B1,B
Eyach_R1_P2,B2,X
Eyach_R1_P2,B3,D
Eyach_R1_P2,B4,X
Eyach_R1_P2,B5,B
Eyach_R1_P2,B6,B
Eyach_R1_P2,C1,B
Eyach_R1_P2,C2,B
Eyach_R1_P2,C3,X
Eyach_R1_P2,C4,D
Eyach_R1_P2,C5,B
Eyach_R1_P2,C6,B
Eyach_R1_P2,D1,X
Eyach_R1_P2,D2,X
Eyach_R1_P2,D3,B
Eyach_R1_P2,D4,X
Eyach_R1_P2,D5,X
Eyach_R1_P2,D6,B
Eyach_R1_P3,A1,B
Eyach_R1_P3,A2,B
Eyach_R1_P3,A3,B
Eyach_R1_P3,A4,D
Eyach_R1_P3,A5,D
Eyach_R1_P3,A6,B
Eyach_R1_P3,B1,B
Eyach_R1_P3,B2,B
Eyach_R1_P3,B3,B
Eyach_R1_P3,B4,B
Eyach_R1_P3,B5,B
Eyach_R1_P3,B6,B
Eyach_R1_P3,C1,B
Eyach_R1_P3,C2,B
Eyach_R1_P3,C3,B
Eyach_R1_P3,C4,B
Eyach_R1_P3,C5,X
Eyach_R1_P3,C6,B
Eyach_R1_P3,D1,B
Eyach_R1_P3,D2,B
Eyach_R1_P3,D3,B
Eyach_R1_P3,D4,B
Eyach_R1_P3,D5,B
Eyach_R1_P3,D6,X
Eyach_R1_P4,A1,B
Eyach_R1_P4,A2,B
Eyach_R1_P4,A3,B
Eyach_R1_P4,A4,B
Eyach_R1_P4,A5,B
Eyach_R1_P4,A6,B
Eyach_R1_P4,B1,B
Eyach_R1_P4,B2,B
Eyach_R1_P4,B3,B
Eyach_R1_P4,B4,B
Eyach_R1_P4,B5,B
Eyach_R1_P4,B6,B
Eyach_R1_P4,C1,B
Eyach_R1_P4,C2,B
Eyach_R1_P4,C3,B
Eyach_R1_P4,C4,B
Eyach_R1_P4,C5,B
Eyach_R1_P4,C6,B
Eyach_R1_P4,D1,B
Eyach_R1_P4,D2,B
Eyach_R1_P4,D3,B
Eyach_R1_P4,D4,B
Eyach_R1_P4,D5,B
Eyach_R1_P4,D6,B
Eyach_R2_P1,A1,X
Eyach_R2_P1,A2,X
Eyach_R2_P1,A3,B
Eyach_R2_P1,A4,B
Eyach_R2_P1,A5,B
Eyach_R2_P1,A6,B
Eyach_R2_P1,B1,B
Eyach_R2_P1,B2,X
Eyach_R2_P1,B3,B
Eyach_R2_P1,B4,S
Eyach_R2_P1,B5,X
Eyach_R2_P1,B6,B
Eyach_R2_P1,C1,S
Eyach_R2_P1,C2,X
Eyach_R2_P1,C3,X
Eyach_R2_P1,C4,B
Eyach_R2_P1,C5,D
Eyach_R2_P1,C6,D
Eyach_R2_P1,D1,S
Eyach_R2_P1,D2,B
Eyach_R2_P1,D3,D
Eyach_R2_P1,D4,B
Eyach_R2_P1,D5,X
Eyach_R2_P1,D6,B
Eyach_R4_P1,A1,X
Eyach_R4_P1,A2,X
Eyach_R4_P1,A3,B
Eyach_R4_P1,A4,B
Eyach_R4_P1,A5,B
Eyach_R4_P1,A6,X
Eyach_R4_P1,B1,D
Eyach_R4_P1,B2,X
Eyach_R4_P1,B3,B
Eyach_R4_P1,B4,B
Eyach_R4_P1,B5,S
Eyach_R4_P1,B6,X
Eyach_R4_P1,C1,X
Eyach_R4_P1,C2,S
Eyach_R4_P1,C3,B
Eyach_R4_P1,C4,D
Eyach_R4_P1,C5,D
Eyach_R4_P1,C6,B
Eyach_R4_P1,D1,D
Eyach_R4_P1,D2,D
Eyach_R4_P1,D3,D
Eyach_R4_P1,D4,D
Eyach_R4_P1,D5,B
Eyach_R4_P1,D6,X
Eyach_R4_P2,A1,B
Eyach_R4_P2,A2,S
Eyach_R4_P2,A3,X
Eyach_R4_P2,A4,D
Eyach_R4_P2,A5,X
Eyach_R4_P2,A6,B
Eyach_R4_P2,B1,S
Eyach_R4_P2,B2,D
Eyach_R4_P2,B3,B
Eyach_R4_P2,B4,X
Eyach_R4_P2,B5,B
Eyach_R4_P2,B6,S
Eyach_R4_P2,C1,D
Eyach_R4_P2,C2,B
Eyach_R4_P2,C3,B
Eyach_R4_P2,C4,B
Eyach_R4_P2,C5,S
Eyach_R4_P2,C6,D
Eyach_R4_P2,D1,X
Eyach_R4_P2,D2,S
Eyach_R4_P2,D3,B
Eyach_R4_P2,D4,X
Eyach_R4_P2,D5,X
Eyach_R4_P2,D6,B
Eyach_R4_P3,A1,X
Eyach_R4_P3,A2,X
Eyach_R4_P3,A3,S
Eyach_R4_P3,A4,X
Eyach_R4_P3,A5,D
Eyach_R4_P3,A6,B
Eyach_R4_P3,B1,X
Eyach_R4_P3,B2,D
Eyach_R4_P3,B3,D
Eyach_R4_P3,B4,B
Eyach_R4_P3,B5,D
Eyach_R4_P3,B6,B
Eyach_R4_P3,C1,X
Eyach_R4_P3,C2,B
Eyach_R4_P3,C3,D
Eyach_R4_P3,C4,B
Eyach_R4_P3,C5,B
Eyach_R4_P3,C6,S
Eyach_R4_P3,D1,B
Eyach_R4_P3,D2,B
Eyach_R4_P3,D3,X
Eyach_R4_P3,D4,D
Eyach_R4_P3,D5,X
Eyach_R4_P3,D6,NOTHING
Eyach_R4_P4,A1,B
Eyach_R4_P4,A2,B
Eyach_R4_P4,A3,B
Eyach_R4_P4,A4,X
Eyach_R4_P4,A5,B
Eyach_R4_P4,A6,B
Eyach_R4_P4,B1,S
Eyach_R4_P4,B2,X
Eyach_R4_P4,B3,B
Eyach_R4_P4,B4,X
Eyach_R4_P4,B5,X
Eyach_R4_P4,B6,X
Eyach_R4_P4,C1,B
Eyach_R4_P4,C2,X
Eyach_R4_P4,C3,B
Eyach_R4_P4,C4,D
Eyach_R4_P4,C5,S
Eyach_R4_P4,C6,B
Eyach_R4_P4,D1,B
Eyach_R4_P4,D2,D
Eyach_R4_P4,D3,D
Eyach_R4_P4,D4,B
Eyach_R4_P4,D5,B
Eyach_R4_P4,D6,B
Col0_R5_P1,A1,D
Col0_R5_P1,A2,D
Col0_R5_P1,A3,D
Col0_R5_P1,A4,B
Col0_R5_P1,A5,D
Col0_R5_P1,A6,D
Col0_R5_P1,B1,B
Col0_R5_P1,B2,S
Col0_R5_P1,B3,S
Col0_R5_P1,B4,B
Col0_R5_P1,B5,D
Col0_R5_P1,B6,D
Col0_R5_P1,C1,B
Col0_R5_P1,C2,B
Col0_R5_P1,C3,S
Col0_R5_P1,C4,S
Col0_R5_P1,C5,D
Col0_R5_P1,C6,B
Col0_R5_P1,D1,B
Col0_R5_P1,D2,B
Col0_R5_P1,D3,B
Col0_R5_P1,D4,B
Col0_R5_P1,D5,S
Col0_R5_P1,D6,B
Col0_R5_P2,A1,B
Col0_R5_P2,A2,S
Col0_R5_P2,A3,B
Col0_R5_P2,A4,D
Col0_R5_P2,A5,B
Col0_R5_P2,A6,D
Col0_R5_P2,B1,B
Col0_R5_P2,B2,S
Col0_R5_P2,B3,S
Col0_R5_P2,B4,B
Col0_R5_P2,B5,D
Col0_R5_P2,B6,S
Col0_R5_P2,C1,B
Col0_R5_P2,C2,S
Col0_R5_P2,C3,S
Col0_R5_P2,C4,S
Col0_R5_P2,C5,B
Col0_R5_P2,C6,D
Col0_R5_P2,D1,B
Col0_R5_P2,D2,B
Col0_R5_P2,D3,B
Col0_R5_P2,D4,B
Col0_R5_P2,D5,B
Col0_R5_P2,D6,S
Col0_R5_P3,A1,X
Col0_R5_P3,A2,B
Col0_R5_P3,A3,D
Col0_R5_P3,A4,D
Col0_R5_P3,A5,D
Col0_R5_P3,A6,B
Col0_R5_P3,B1,B
Col0_R5_P3,B2,D
Col0_R5_P3,B3,B
Col0_R5_P3,B4,B
Col0_R5_P3,B5,B
Col0_R5_P3,B6,B
Col0_R5_P3,C1,D
Col0_R5_P3,C2,B
Col0_R5_P3,C3,B
Col0_R5_P3,C4,B
Col0_R5_P3,C5,B
Col0_R5_P3,C6,D
Col0_R5_P3,D1,B
Col0_R5_P3,D2,B
Col0_R5_P3,D3,D
Col0_R5_P3,D4,B
Col0_R5_P3,D5,B
Col0_R5_P3,D6,D
Col0_R5_P4,A1,S
Col0_R5_P4,A2,B
Col0_R5_P4,A3,B
Col0_R5_P4,A4,B
Col0_R5_P4,A5,D
Col0_R5_P4,A6,B
Col0_R5_P4,B1,B
Col0_R5_P4,B2,B
Col0_R5_P4,B3,B
Col0_R5_P4,B4,B
Col0_R5_P4,B5,B
Col0_R5_P4,B6,B
Col0_R5_P4,C1,B
Col0_R5_P4,C2,B
Col0_R5_P4,C3,B
Col0_R5_P4,C4,D
Col0_R5_P4,C5,X
Col0_R5_P4,C6,D
Col0_R5_P4,D1,B
Col0_R5_P4,D2,B
Col0_R5_P4,D3,B
Col0_R5_P4,D4,B
Col0_R5_P4,D5,B
Col0_R5_P4,D6,B
Col0_R5_P5,A1,D
Col0_R5_P5,A2,D
Col0_R5_P5,A3,D
Col0_R5_P5,A4,D
Col0_R5_P5,A5,D
Col0_R5_P5,A6,D
Col0_R5_P5,B1,B
Col0_R5_P5,B2,B
Col0_R5_P5,B3,B
Col0_R5_P5,B4,B
Col0_R5_P5,B5,D
Col0_R5_P5,B6,B
Col0_R5_P5,C1,B
Col0_R5_P5,C2,D
Col0_R5_P5,C3,B
Col0_R5_P5,C4,B
Col0_R5_P5,C5,S
Col0_R5_P5,C6,B
Col0_R5_P5,D1,B
Col0_R5_P5,D2,D
Col0_R5_P5,D3,B
Col0_R5_P5,D4,B
Col0_R5_P5,D5,B
Col0_R5_P5,D6,B