"contrast","parameter","shapiro_p","levene_p","method","anova_p","welch_p","kruskal_p","p.adj","p.adj.signif","statistic","lwr","upr"
"WT-rmlC","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.999759747808219,"NS",0.886866344786435,-7.53962659125055,9.31335928082342
"tagG-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.124838646493244,"NS",-7.12062906915747,-15.5471220051945,1.30586386687951
"tagH-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.999984954439304,"NS",-0.552268538075211,-8.9787614741122,7.87422439796178
"wfgD-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.53855195363055,"NS",-4.56895605023573,-12.9954489862727,3.85753688580125
"WT-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.233983689043583,"NS",-6.14487766169836,-14.5713705977353,2.28161527433863
"tagH-tagG","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.179543597975026,"NS",6.56836053108226,-1.85813240495473,14.9948534671193
"wfgD-tagG","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.937108257616876,"NS",2.55167301892174,-5.87481991711525,10.9781659549587
"WT-tagG","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.99958408163843,"NS",0.975751407459116,-7.45074152857787,9.4022443434961
"wfgD-tagH","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.668814912876237,"NS",-4.01668751216052,-12.4431804481975,4.40980542387647
"WT-tagH","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.323130884315044,"NS",-5.59260912362315,-14.0191020596601,2.83388381241384
"WT-wfgD","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.994068498438867,"NS",-1.57592161146262,-10.0024145474996,6.85057132457436
"rmlC-epsE","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.69468522806741,"NS",-0.816356920640521,-2.57779335604409,0.945079514763044
"spsA-epsE","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.28124141048608,"NS",1.21995059128051,-0.541485844123051,2.98138702668408
"tagG-epsE","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.765210945626703,"NS",-0.750324544756956,-2.51176098016052,1.01111189064661
"tagH-epsE","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.353318430175674,"NS",1.13508987375399,-0.626346561649579,2.89652630915755
"wfgD-epsE","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.988135280172619,"NS",0.37626301743585,-1.38517341796771,2.13769945283941
"WT-epsE","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.891173377128694,"NS",-0.607837998296587,-2.36927443370015,1.15359843710698
"spsA-rmlC","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.0191028286858269,"*",2.03630751192104,0.27487107651747,3.7977439473246
"tagG-rmlC","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.999999456650163,"NS",0.0660323758835653,-1.69540405952,1.82746881128713
"tagH-rmlC","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.0257645467919709,"*",1.95144679439451,0.190010358990942,3.71288322979807
"wfgD-rmlC","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.303229937638012,"NS",1.19261993807637,-0.568816497327194,2.95405637347994
"WT-rmlC","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.999528157610487,"NS",0.208518922343934,-1.55291751305963,1.9699553577475
"tagG-spsA","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.0241122964982674,"*",-1.97027513603747,-3.73171157144103,-0.208838700633905
"tagH-spsA","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.999997575968846,"NS",-0.0848607175265284,-1.84629715293009,1.67657571787704
"wfgD-spsA","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.664270024379033,"NS",-0.843687573844664,-2.60512400924823,0.9177488615589
"WT-spsA","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.039726245747181,"*",-1.8277885895771,-3.58922502498067,-0.0663521541735363
"tagH-tagG","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.032485623673333,"*",1.88541441851094,0.123977983107377,3.64685085391451
"wfgD-tagG","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.361147116010456,"NS",1.12658756219281,-0.634848873210759,2.88802399759637
"WT-tagG","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.999948059813582,"NS",0.142486546460369,-1.6189498889432,1.90392298186393
"wfgD-tagH","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.756440809813979,"NS",-0.758826856318136,-2.5202632917217,1.00260957908543
"WT-tagH","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.053292516796083,"NS",-1.74292787205057,-3.50436430745414,0.018508563352992
"WT-wfgD","t_gen",0.230495976668378,0.385074903778239,"Tukey",0.0037788290009612,0.0243333019082845,0.0293473615500162,0.506432743265941,"NS",-0.984101015732437,-2.745537451136,0.777335419671128
"rmlC-epsE","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.00158156757085459,"**",5.96280416666668,2.14423039813355,9.7813779351998
"spsA-epsE","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.989134476133113,"NS",-0.801820833333331,-4.62039460186646,3.0167529351998
"tagG-epsE","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.582072303260345,"NS",1.98659270833333,-1.83198106019979,5.80516647686646
"tagH-epsE","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.999999923912231,"NS",-0.103032291666665,-3.92160606019979,3.71554147686646
"wfgD-epsE","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.999996908064058,"NS",-0.191649999999997,-4.01022376853313,3.62692376853313
"WT-epsE","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.000303022921946283,"***",7.052434375,3.23386060646688,10.8710081435331
"spsA-rmlC","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.0004638914727364,"***",-6.76462500000001,-10.5831987685331,-2.94605123146688
"tagG-rmlC","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.0388556319595336,"*",-3.97621145833334,-7.79478522686647,-0.157637689800217
"tagH-rmlC","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.00134673385151973,"**",-6.06583645833334,-9.88441022686647,-2.24726268980021
"wfgD-rmlC","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.00117367355125142,"**",-6.15445416666667,-9.9730279351998,-2.33588039813355
"WT-rmlC","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.951740707456113,"NS",1.08963020833333,-2.7289435601998,4.90820397686645
"tagG-spsA","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.23279645568298,"NS",2.78841354166666,-1.03016022686646,6.60698731019979
"tagH-spsA","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.994716510734497,"NS",0.698788541666667,-3.11978522686646,4.51736231019979
"wfgD-spsA","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.99746374878495,"NS",0.610170833333334,-3.20840293519979,4.42874460186646
"WT-spsA","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,9.65112445920902e-05,"***",7.85425520833334,4.03568143980021,11.6728289768665
"tagH-tagG","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.528721203815656,"NS",-2.089625,-5.90819876853313,1.72894876853313
"wfgD-tagG","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.4839423231552,"NS",-2.17824270833333,-5.99681647686646,1.6403310601998
"WT-tagG","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.0066157822570021,"**",5.06584166666667,1.24726789813354,8.8844154351998
"wfgD-tagH","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.99999996913421,"NS",-0.0886177083333326,-3.90719147686646,3.72995606019979
"WT-tagH","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.000260679786261764,"***",7.15546666666667,3.33689289813354,10.9740404351998
"WT-wfgD","auc_e",0.56359873358297,0.334233888044035,"Tukey",1.23453997144783e-05,0.000105511865218831,0.0228622830669016,0.000229213956037033,"***",7.244084375,3.42551060646687,11.0626581435331
"rmlC-epsE","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.00153750790744056,"**",6.05184715771223,2.18796021883872,9.91573409658574
"spsA-epsE","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.991102996436067,"NS",-0.780580853707171,-4.64446779258068,3.08330608516634
"tagG-epsE","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.603530994898754,"NS",1.96861468635588,-1.89527225251763,5.83250162522939
"tagH-epsE","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.999999996036496,"NS",-0.0636606009601248,-3.92754753983363,3.80022633791338
"wfgD-epsE","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.999998992960719,"NS",-0.160629334209041,-4.02451627308255,3.70325760466447
"WT-epsE","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.000291031365639571,"***",7.16402017055923,3.30013323168572,11.0279071094327
"spsA-rmlC","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.000472510427020234,"***",-6.8324280114194,-10.6963149502929,-2.96854107254589
"tagG-rmlC","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.0353283745188617,"*",-4.08323247135635,-7.94711941022986,-0.219345532482836
"tagH-rmlC","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.00139375839212319,"**",-6.11550775867235,-9.97939469754586,-2.25162081979884
"wfgD-rmlC","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.00120095341095228,"**",-6.21247649192127,-10.0763634307948,-2.34858955304776
"WT-rmlC","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.949808544829107,"NS",1.11217301284701,-2.7517139260265,4.97605995172052
"tagG-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.256022288217465,"NS",2.74919554006305,-1.11469139881046,6.61308247893656
"tagH-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.994312982040669,"NS",0.716920252747046,-3.14696668612646,4.58080719162056
"wfgD-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.997406022113313,"NS",0.61995151949813,-3.24393541937538,4.48383845837164
"WT-spsA","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,9.6890222825996e-05,"***",7.9446010242664,4.0807140853929,11.8084879631399
"tagH-tagG","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.570683443178716,"NS",-2.03227528731601,-5.89616222618952,1.8316116515575
"wfgD-tagG","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.521232012590614,"NS",-2.12924402056492,-5.99313095943843,1.73464291830859
"WT-tagG","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.00591992332387603,"**",5.19540548420335,1.33151854532984,9.05929242307686
"wfgD-tagH","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.999999950684716,"NS",-0.0969687332489162,-3.96085567212243,3.76691820562459
"WT-tagH","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.000265487576652568,"***",7.22768077151936,3.36379383264585,11.0915677103929
"WT-wfgD","auc_l",0.561199806567741,0.334786452049996,"Tukey",1.24074837144446e-05,0.000100776982739432,0.0228622830669016,0.000230990506130957,"***",7.32464950476827,3.46076256589476,11.1885364436418
